game_date,game_pk,home_team,away_team,venue,venue_id
2026-02-20T18:05:00Z,832034,Baltimore Orioles,New York Yankees,Ed Smith Stadium,2508
2026-02-20T18:05:00Z,832033,Boston Red Sox,Northeastern Huskies,JetBlue Park,4309
2026-02-20T20:05:00Z,831829,Texas Rangers,Kansas City Royals,Surprise Stadium,2603
2026-02-20T20:05:00Z,832042,Chicago Cubs,Chicago White Sox,Sloan Park,4629
2026-02-20T20:10:00Z,831959,Colorado Rockies,Arizona Diamondbacks,Salt River Fields at Talking Stick,4249
2026-02-20T20:10:00Z,831764,Seattle Mariners,San Diego Padres,Peoria Stadium,2530
2026-02-20T23:05:00Z,832043,Minnesota Twins,Minnesota Golden Gophers,Lee Health Sports Complex,2862
2026-02-21T18:05:00Z,831598,Washington Nationals,Houston Astros,CACTI Park of the Palm Beaches,5000
2026-02-21T18:05:00Z,831544,Baltimore Orioles,Pittsburgh Pirates,Ed Smith Stadium,2508
2026-02-21T18:05:00Z,831494,St. Louis Cardinals,Washington Nationals,Roger Dean Chevrolet Stadium,2520
2026-02-21T18:05:00Z,831654,Minnesota Twins,Boston Red Sox,Lee Health Sports Complex,2862
2026-02-21T18:05:00Z,831543,Tampa Bay Rays,Atlanta Braves,Charlotte Sports Park,2534
2026-02-21T18:05:00Z,831655,New York Yankees,Detroit Tigers,George M. Steinbrenner Field,2523
2026-02-21T18:07:00Z,831542,Toronto Blue Jays,Philadelphia Phillies,TD Ballpark,2536
2026-02-21T18:10:00Z,831497,New York Mets,Miami Marlins,Clover Park,2856
2026-02-21T20:05:00Z,831900,Cleveland Guardians,Cincinnati Reds,Goodyear Ballpark,3834
2026-02-21T20:05:00Z,831775,Kansas City Royals,San Diego Padres,Surprise Stadium,2603
2026-02-21T20:05:00Z,831732,Chicago Cubs,Texas Rangers,Sloan Park,4629
2026-02-21T20:05:00Z,831948,Chicago White Sox,Athletics,Camelback Ranch,3809
2026-02-21T20:10:00Z,831872,Arizona Diamondbacks,Colorado Rockies,Salt River Fields at Talking Stick,4249
2026-02-21T20:10:00Z,832063,Los Angeles Angels,Los Angeles Dodgers,Tempe Diablo Stadium,2500
2026-02-21T20:10:00Z,831750,Seattle Mariners,San Francisco Giants,Peoria Stadium,2530
