id,name,latitude,longitude,team,sport,capacity,elevation
2740,7 17 Credit Union Park,41.07739,-81.52185,Akron RubberDucks,Double-A,9297.0,
3329,Arvest Ballpark,36.15968,-94.194624,Northwest Arkansas Naturals,Double-A,7500.0,
4329,Blue Wahoos Stadium,30.4048409,-87.2188349,Pensacola Blue Wahoos,Double-A,5038.0,
6136,Covenant Health Park,35.97248459516771,-83.91495041686319,Knoxville Smokies,Double-A,7500.0,
2779,Delta Dental Park,43.6562399,-70.27873,Portland Sea Dogs,Double-A,6868.0,
2868,Delta Dental Stadium,42.98115,-71.46653,New Hampshire Fisher Cats,Double-A,6500.0,
3389,Dickey-Stephens Park,34.75513,-92.2725899,Arkansas Travelers,Double-A,5800.0,
4985,Dunkin' Park,41.77079,-72.6743078,Hartford Yard Goats,Double-A,9000.0,
5450,Equity Bank Park,37.6813367,-97.3475531,Wichita Wind Surge,Double-A,10000.0,
2749,FNB Field,40.2568294,-76.8896522,Harrisburg Senators,Double-A,6300.0,
2769,FirstEnergy Stadium,40.365558,-75.933816,Reading Fightin Phils,Double-A,9000.0,
2722,Hammons Field,37.21078,-93.2797,Springfield Cardinals,Double-A,7500.0,
5415,Hodgetown,35.2050189,-101.8339567,Amarillo Sod Poodles,Double-A,8500.0,
4960,Keesler Federal Park,30.395421,-88.893217,Biloxi Shuckers,Double-A,5000.0,
2820,Mirabito Stadium,42.1031199,-75.90379,Binghamton Rumble Ponies,Double-A,6012.0,
2768,Momentum Bank Ballpark,31.98835,-102.15482,Midland RockHounds,Double-A,6669.0,
2814,Montgomery Riverwalk Stadium,32.382298,-86.310592,Montgomery Biscuits,Double-A,6000.0,
2818,Nelson Wolff Stadium,29.40978,-98.60189,San Antonio Missions,Double-A,6200.0,
4149,ONEOK Field,36.1601215,-95.9888782,Tulsa Drillers,Double-A,6200.0,
2733,Peoples Natural Gas Field,40.473826,-78.394753,Altoona Curve,Double-A,7200.0,
2832,Prince George's Stadium,38.946114,-76.709334,Chesapeake Baysox,Double-A,10000.0,
4529,Regions Field,33.5077928,-86.8120366,Birmingham Barons,Double-A,8500.0,
2755,Riders Field,33.0984,-96.8197,Frisco RoughRiders,Double-A,10000.0,
2776,Synovus Park,32.4523727,-84.9939591,Columbus Clingstones,Double-A,5000.0,
